Date,Open
2022-01-24,160.020004
2022-01-25,158.979996
2022-01-26,163.5
2022-01-27,162.449997
2022-01-28,165.710007
2022-01-31,170.160004
2022-02-01,174.009995
2022-02-02,174.75
2022-02-03,174.479996
2022-02-04,171.679993
2022-02-07,172.860001
2022-02-08,171.729996
2022-02-09,176.050003
2022-02-10,174.139999
2022-02-11,172.330002
2022-02-14,167.369995
2022-02-15,170.970001
2022-02-16,171.850006
2022-02-17,171.029999
2022-02-18,169.820007
2022-02-22,164.979996
2022-02-23,165.539993
2022-02-24,152.580002
2022-02-25,163.839996
2022-02-28,163.059998
2022-03-01,164.699997
2022-03-02,164.389999
2022-03-03,168.470001
2022-03-04,164.490005
2022-03-07,163.360001
2022-03-08,158.820007
2022-03-09,161.479996
2022-03-10,160.199997
2022-03-11,158.929993
2022-03-14,151.449997
2022-03-15,150.899994
2022-03-16,157.050003
2022-03-17,158.610001
2022-03-18,160.509995
2022-03-21,163.509995
2022-03-22,165.509995
2022-03-23,167.990005
2022-03-24,171.059998
2022-03-25,173.880005
2022-03-28,172.169998
2022-03-29,176.690002
2022-03-30,178.550003
2022-03-31,177.839996
2022-04-01,174.029999
2022-04-04,174.570007
2022-04-05,177.5
2022-04-06,172.360001
2022-04-07,171.160004
2022-04-08,171.779999
2022-04-11,168.710007
2022-04-12,168.020004
2022-04-13,167.389999
2022-04-14,170.619995
2022-04-18,163.919998
2022-04-19,165.020004
2022-04-20,168.759995
2022-04-21,168.910004
2022-04-22,166.460007
2022-04-25,161.119995
2022-04-26,162.25
2022-04-27,155.910004
2022-04-28,159.25
2022-04-29,161.839996
2022-05-02,156.710007
2022-05-03,158.149994
2022-05-04,159.669998
2022-05-05,163.850006
2022-05-06,156.009995
2022-05-09,154.929993
2022-05-10,155.520004
2022-05-11,153.5
2022-05-12,142.770004
2022-05-13,144.589996
2022-05-16,145.550003
2022-05-17,148.860001
2022-05-18,146.850006
2022-05-19,139.880005
2022-05-20,139.089996
2022-05-23,137.789993
2022-05-24,140.809998
2022-05-25,138.429993
2022-05-26,137.389999
2022-05-27,145.389999
2022-05-31,149.070007
2022-06-01,149.899994
2022-06-02,147.830002
2022-06-03,146.899994
2022-06-06,147.029999
2022-06-07,144.350006
2022-06-08,148.580002
2022-06-09,147.080002
2022-06-10,140.279999
2022-06-13,132.869995
2022-06-14,133.130005
2022-06-15,134.289993
2022-06-16,132.080002
2022-06-17,130.070007
2022-06-21,133.419998
2022-06-22,134.789993
2022-06-23,136.820007
2022-06-24,139.899994
2022-06-27,142.699997
2022-06-28,142.130005
2022-06-29,137.460007
2022-06-30,137.25
2022-07-01,136.039993
2022-07-05,137.770004
2022-07-06,141.350006
2022-07-07,143.289993
2022-07-08,145.259995
2022-07-11,145.669998
2022-07-12,145.759995
2022-07-13,142.990005
2022-07-14,144.080002
2022-07-15,149.779999
2022-07-18,150.740005
2022-07-19,147.919998
2022-07-20,151.119995
2022-07-21,154.5
2022-07-22,155.389999
2022-07-25,154.009995
2022-07-26,152.259995
2022-07-27,152.580002
2022-07-28,156.979996
2022-07-29,161.240005
2022-08-01,161.009995
2022-08-02,160.100006
2022-08-03,160.839996
2022-08-04,166.009995
2022-08-05,163.210007
2022-08-08,166.369995
2022-08-09,164.020004
2022-08-10,167.679993
2022-08-11,170.059998
2022-08-12,169.820007
2022-08-15,171.520004
2022-08-16,172.779999
2022-08-17,172.770004
2022-08-18,173.75
2022-08-19,173.029999
2022-08-22,169.690002
2022-08-23,167.080002
2022-08-24,167.320007
2022-08-25,168.779999
2022-08-26,170.570007
2022-08-29,161.149994
2022-08-30,162.130005
2022-08-31,160.309998
2022-09-01,156.639999
2022-09-02,159.75
2022-09-06,156.470001
2022-09-07,154.820007
2022-09-08,154.639999
2022-09-09,155.470001
2022-09-12,159.589996
2022-09-13,159.899994
2022-09-14,154.789993
2022-09-15,154.649994
2022-09-16,151.210007
2022-09-19,149.309998
2022-09-20,153.399994
2022-09-21,157.339996
2022-09-22,152.380005
2022-09-23,151.190002
2022-09-26,149.660004
2022-09-27,152.740005
2022-09-28,147.639999
2022-09-29,146.100006
2022-09-30,141.279999
2022-10-03,138.210007
2022-10-04,145.029999
2022-10-05,144.070007
2022-10-06,145.809998
2022-10-07,142.539993
2022-10-10,140.419998
2022-10-11,139.899994
2022-10-12,139.130005
2022-10-13,134.990005
2022-10-14,144.309998
2022-10-17,141.070007
2022-10-18,145.490005
2022-10-19,141.690002
2022-10-20,143.020004
2022-10-21,142.869995
2022-10-24,147.190002
2022-10-25,150.089996
2022-10-26,150.960007
2022-10-27,148.070007
2022-10-28,148.199997
2022-10-31,153.160004
2022-11-01,155.080002
2022-11-02,148.949997
2022-11-03,142.059998
2022-11-04,142.089996
2022-11-07,137.110001
2022-11-08,140.410004
2022-11-09,138.5
2022-11-10,141.240005
2022-11-11,145.820007
2022-11-14,148.970001
2022-11-15,152.220001
2022-11-16,149.130005
2022-11-17,146.429993
2022-11-18,152.309998
2022-11-21,150.160004
2022-11-22,148.130005
2022-11-23,149.449997
2022-11-25,148.309998
2022-11-28,145.139999
2022-11-29,144.289993
2022-11-30,141.399994
2022-12-01,148.210007
2022-12-02,145.960007
2022-12-05,147.770004
2022-12-06,147.070007
2022-12-07,142.190002
2022-12-08,142.360001
2022-12-09,142.339996
2022-12-12,142.699997
2022-12-13,149.5
2022-12-14,145.350006
2022-12-15,141.110001
2022-12-16,136.690002
2022-12-19,135.110001
2022-12-20,131.389999
2022-12-21,132.979996
2022-12-22,134.350006
2022-12-23,130.919998
2022-12-27,131.380005
2022-12-28,129.669998
2022-12-29,127.989998
2022-12-30,128.410004
2023-01-03,130.279999
2023-01-04,126.889999
2023-01-05,127.129997
2023-01-06,126.010002
2023-01-09,130.470001
2023-01-10,130.259995
2023-01-11,131.25
2023-01-12,133.880005
2023-01-13,132.029999
2023-01-17,134.830002
2023-01-18,136.820007
2023-01-19,134.080002
2023-01-20,135.279999
2023-01-23,138.119995
2023-01-24,140.309998
2023-01-25,140.889999
2023-01-26,143.169998
2023-01-27,143.160004
2023-01-30,144.960007
2023-01-31,142.699997
2023-02-01,143.970001
2023-02-02,148.899994
2023-02-03,148.029999
2023-02-06,152.570007
2023-02-07,150.639999
2023-02-08,153.880005
2023-02-09,153.779999
2023-02-10,149.460007
2023-02-13,150.949997
2023-02-14,152.119995
2023-02-15,153.110001
2023-02-16,153.509995
2023-02-17,152.350006
2023-02-21,150.199997
2023-02-22,148.869995
2023-02-23,150.089996
2023-02-24,147.110001
2023-02-27,147.710007
2023-02-28,147.050003
2023-03-01,146.830002
2023-03-02,144.380005
2023-03-03,148.039993
2023-03-06,153.789993
2023-03-07,153.699997
2023-03-08,152.809998
2023-03-09,153.559998
2023-03-10,150.210007
2023-03-13,147.809998
2023-03-14,151.279999
2023-03-15,151.190002
2023-03-16,152.160004
2023-03-17,156.080002
2023-03-20,155.070007
2023-03-21,157.320007
2023-03-22,159.300003
2023-03-23,158.830002
2023-03-24,158.860001
2023-03-27,159.940002
2023-03-28,157.970001
2023-03-29,159.369995
2023-03-30,161.529999
2023-03-31,162.440002
2023-04-03,164.270004
2023-04-04,166.600006
2023-04-05,164.740005
2023-04-06,162.429993
2023-04-10,161.419998
2023-04-11,162.350006
2023-04-12,161.220001
2023-04-13,161.630005
2023-04-14,164.589996
2023-04-17,165.089996
2023-04-18,166.100006
2023-04-19,165.800003
2023-04-20,166.089996
2023-04-21,165.050003
2023-04-24,165.0
2023-04-25,165.190002
2023-04-26,163.059998
2023-04-27,165.190002
2023-04-28,168.490005
2023-05-01,169.279999
2023-05-02,170.089996
2023-05-03,169.5
2023-05-04,164.889999
2023-05-05,170.979996
2023-05-08,172.479996
2023-05-09,173.050003
2023-05-10,173.020004
2023-05-11,173.850006
2023-05-12,173.619995
2023-05-15,173.160004
2023-05-16,171.990005
2023-05-17,171.710007
2023-05-18,173.0
2023-05-19,176.389999
2023-05-22,173.979996
2023-05-23,173.130005
2023-05-24,171.089996
2023-05-25,172.410004
2023-05-26,173.320007
2023-05-30,176.960007
2023-05-31,177.330002
2023-06-01,177.699997
2023-06-02,181.029999
2023-06-05,182.630005
2023-06-06,179.970001
2023-06-07,178.440002
2023-06-08,177.899994
2023-06-09,181.5
2023-06-12,181.270004
2023-06-13,182.800003
2023-06-14,183.369995
2023-06-15,183.960007
2023-06-16,186.729996
2023-06-20,184.410004
2023-06-21,184.899994
2023-06-22,183.740005
2023-06-23,185.550003
2023-06-26,186.830002
2023-06-27,185.889999
2023-06-28,187.929993
2023-06-29,189.080002
2023-06-30,191.630005
2023-07-03,193.779999
2023-07-05,191.570007
2023-07-06,189.839996
2023-07-07,191.410004
2023-07-10,189.259995
2023-07-11,189.160004
2023-07-12,189.679993
2023-07-13,190.5
2023-07-14,190.229996
2023-07-17,191.899994
2023-07-18,193.350006
2023-07-19,193.100006
2023-07-20,195.089996
2023-07-21,194.100006
2023-07-24,193.410004
2023-07-25,193.330002
2023-07-26,193.669998
2023-07-27,196.020004
2023-07-28,194.669998
2023-07-31,196.059998
2023-08-01,196.240005
2023-08-02,195.039993
2023-08-03,191.570007
2023-08-04,185.520004
2023-08-07,182.130005
2023-08-08,179.690002
2023-08-09,180.869995
2023-08-10,179.479996
2023-08-11,177.320007
2023-08-14,177.970001
2023-08-15,178.880005
2023-08-16,177.130005
2023-08-17,177.139999
2023-08-18,172.300003
2023-08-21,175.070007
2023-08-22,177.059998
2023-08-23,178.520004
2023-08-24,180.669998
2023-08-25,177.380005
2023-08-28,180.089996
2023-08-29,179.699997
2023-08-30,184.940002
2023-08-31,187.839996
2023-09-01,189.490005
2023-09-05,188.279999
2023-09-06,188.399994
2023-09-07,175.179993
2023-09-08,178.350006
2023-09-11,180.070007
2023-09-12,179.490005
2023-09-13,176.509995
2023-09-14,174.0
2023-09-15,176.479996
2023-09-18,176.479996
2023-09-19,177.520004
2023-09-20,179.259995
2023-09-21,174.550003
2023-09-22,174.669998
2023-09-25,174.199997
2023-09-26,174.820007
2023-09-27,172.619995
2023-09-28,169.339996
2023-09-29,172.020004
2023-10-02,171.220001
2023-10-03,172.259995
2023-10-04,171.089996
2023-10-05,173.789993
2023-10-06,173.800003
2023-10-09,176.809998
2023-10-10,178.100006
2023-10-11,178.199997
2023-10-12,180.070007
2023-10-13,181.419998
2023-10-16,176.75
2023-10-17,176.649994
2023-10-18,175.580002
2023-10-19,176.039993
2023-10-20,175.309998
2023-10-23,170.910004
2023-10-24,173.050003
2023-10-25,171.880005
2023-10-26,170.369995
2023-10-27,166.910004
2023-10-30,169.020004
2023-10-31,169.350006
2023-11-01,171.0
2023-11-02,175.520004
2023-11-03,174.240005
2023-11-06,176.380005
2023-11-07,179.179993
2023-11-08,182.350006
2023-11-09,182.960007
2023-11-10,183.970001
2023-11-13,185.820007
2023-11-14,187.699997
2023-11-15,187.850006
2023-11-16,189.570007
2023-11-17,190.25
2023-11-20,189.889999
2023-11-21,191.410004
2023-11-22,191.490005
2023-11-24,190.869995
2023-11-27,189.919998
2023-11-28,189.779999
2023-11-29,190.899994
2023-11-30,189.839996
2023-12-01,190.330002
2023-12-04,189.979996
2023-12-05,190.210007
2023-12-06,194.449997
2023-12-07,193.630005
2023-12-08,194.199997
2023-12-11,193.110001
2023-12-12,193.080002
2023-12-13,195.089996
2023-12-14,198.020004
2023-12-15,197.529999
2023-12-18,196.089996
2023-12-19,196.160004
2023-12-20,196.899994
2023-12-21,196.100006
2023-12-22,195.179993
2023-12-26,193.610001
2023-12-27,192.490005
2023-12-28,194.139999
2023-12-29,193.899994
2024-01-02,187.149994
2024-01-03,184.220001
2024-01-04,182.149994
2024-01-05,181.990005
2024-01-08,182.089996
2024-01-09,183.919998
2024-01-10,184.350006
2024-01-11,186.539993
2024-01-12,186.059998
